,FIPS,hh_income,house_value,State,County,Tract_ID
2014,36081077904,103542.0,751900.0,NEW YORK,Queens County,077904
2015,36081077905,93579.0,264700.0,NEW YORK,Queens County,077905
2016,36081077906,70096.0,329700.0,NEW YORK,Queens County,077906
2017,36081077907,49857.0,830900.0,NEW YORK,Queens County,077907
2018,36081077908,53362.0,380000.0,NEW YORK,Queens County,077908
2019,36081078800,110833.0,521500.0,NEW YORK,Queens County,078800
2020,36081079000,81573.0,547900.0,NEW YORK,Queens County,079000
2021,36081079200,68871.0,500600.0,NEW YORK,Queens County,079200
2023,36081079701,41944.0,430700.0,NEW YORK,Queens County,079701
2024,36081079702,54096.0,523200.0,NEW YORK,Queens County,079702
2025,36081079900,46273.0,989000.0,NEW YORK,Queens County,079900
2026,36081080301,50033.0,886200.0,NEW YORK,Queens County,080301
2027,36081080302,71760.0,699900.0,NEW YORK,Queens County,080302
2028,36081080900,73946.0,305900.0,NEW YORK,Queens County,080900
2029,36081081400,125343.0,578200.0,NEW YORK,Queens County,081400
2030,36081081800,88068.0,601100.0,NEW YORK,Queens County,081800
2031,36081083700,56356.0,849900.0,NEW YORK,Queens County,083700
2032,36081083800,84481.0,614000.0,NEW YORK,Queens County,083800
2033,36081084000,106325.0,586700.0,NEW YORK,Queens County,084000
2034,36081084500,32285.0,631400.0,NEW YORK,Queens County,084500
2035,36081084601,94414.0,719900.0,NEW YORK,Queens County,084601
2036,36081084602,73036.0,680100.0,NEW YORK,Queens County,084602
2037,36081084901,48191.0,759977.6464903357,NEW YORK,Queens County,084901
2038,36081084902,48409.0,398900.0,NEW YORK,Queens County,084902
2039,36081085300,32404.0,637600.0,NEW YORK,Queens County,085300
2040,36081085500,38567.0,270000.0,NEW YORK,Queens County,085500
2041,36081085700,47609.0,438700.0,NEW YORK,Queens County,085700
2042,36081085900,53821.0,377200.0,NEW YORK,Queens County,085900
2043,36081086100,52019.0,381300.0,NEW YORK,Queens County,086100
2044,36081086300,41716.0,353300.0,NEW YORK,Queens County,086300
2045,36081086400,106612.0,609900.0,NEW YORK,Queens County,086400
2046,36081086500,40777.0,372400.0,NEW YORK,Queens County,086500
2047,36081086900,41645.0,616400.0,NEW YORK,Queens County,086900
2048,36081087100,39261.0,806000.0,NEW YORK,Queens County,087100
2049,36081088400,97830.0,650700.0,NEW YORK,Queens County,088400
2050,36081088902,50307.0,295300.0,NEW YORK,Queens County,088902
2051,36081088903,73060.0,307900.0,NEW YORK,Queens County,088903
2052,36081089201,132739.0,794100.0,NEW YORK,Queens County,089201
2054,36081090700,83917.0,803700.0,NEW YORK,Queens County,090700
2056,36081091603,113047.0,610900.0,NEW YORK,Queens County,091603
2059,36081091900,88466.0,749000.0,NEW YORK,Queens County,091900
2060,36081092200,163500.0,893000.0,NEW YORK,Queens County,092200
2061,36081092500,50234.0,667000.0,NEW YORK,Queens County,092500
2062,36081092800,138452.0,920600.0,NEW YORK,Queens County,092800
2063,36081092900,74122.0,676700.0,NEW YORK,Queens County,092900
2064,36081093401,92847.0,664000.0,NEW YORK,Queens County,093401
2065,36081093402,98636.0,671700.0,NEW YORK,Queens County,093402
2066,36081093800,60917.0,759977.6464903357,NEW YORK,Queens County,093800
2067,36081093900,83929.0,680400.0,NEW YORK,Queens County,093900
2068,36081094201,70236.0,644400.0,NEW YORK,Queens County,094201
2069,36081094202,51098.0,452900.0,NEW YORK,Queens County,094202
2070,36081094203,55231.0,185700.0,NEW YORK,Queens County,094203
2071,36081094500,70840.0,880500.0,NEW YORK,Queens County,094500
2072,36081094700,73487.0,858500.0,NEW YORK,Queens County,094700
2073,36081095400,75781.0,476300.0,NEW YORK,Queens County,095400
2074,36081096400,83438.0,541100.0,NEW YORK,Queens County,096400
2075,36081097202,33051.0,759977.6464903357,NEW YORK,Queens County,097202
2076,36081097204,56586.0,759977.6464903357,NEW YORK,Queens County,097204
2077,36081097205,27790.0,759977.6464903357,NEW YORK,Queens County,097205
2078,36081097206,32060.0,465800.0,NEW YORK,Queens County,097206
2080,36081097300,108162.0,906400.0,NEW YORK,Queens County,097300
2081,36081098100,95694.0,986000.0,NEW YORK,Queens County,098100
2082,36081098700,92500.0,833500.0,NEW YORK,Queens County,098700
2083,36081099100,106250.0,671200.0,NEW YORK,Queens County,099100
2084,36081099200,31258.0,376700.0,NEW YORK,Queens County,099200
2085,36081099701,105069.0,418900.0,NEW YORK,Queens County,099701
2086,36081099703,104634.0,540800.0,NEW YORK,Queens County,099703
2087,36081099704,82873.0,388600.0,NEW YORK,Queens County,099704
2088,36081099705,130833.0,725900.0,NEW YORK,Queens County,099705
2089,36081099801,68370.0,523000.0,NEW YORK,Queens County,099801
2090,36081099802,53591.0,759977.6464903357,NEW YORK,Queens County,099802
2092,36081100801,119674.0,492000.0,NEW YORK,Queens County,100801
2093,36081100803,44146.0,540000.0,NEW YORK,Queens County,100803
2094,36081100804,109878.0,538900.0,NEW YORK,Queens County,100804
2095,36081101002,38395.0,707700.0,NEW YORK,Queens County,101002
2097,36081101004,43168.0,591300.0,NEW YORK,Queens County,101004
2098,36081101700,80000.0,539600.0,NEW YORK,Queens County,101700
2099,36081102900,91000.0,872500.0,NEW YORK,Queens County,102900
2100,36081103201,42857.0,574100.0,NEW YORK,Queens County,103201
2101,36081103202,72279.0,732100.0,NEW YORK,Queens County,103202
2102,36081103300,90457.0,910800.0,NEW YORK,Queens County,103300
2103,36081103900,67023.0,846700.0,NEW YORK,Queens County,103900
2104,36081104700,59973.0,730000.0,NEW YORK,Queens County,104700
2105,36081105900,105721.0,860500.0,NEW YORK,Queens County,105900
2106,36081107201,91029.0,442200.0,NEW YORK,Queens County,107201
2108,36081108500,60761.0,885700.0,NEW YORK,Queens County,108500
2109,36081109300,127104.0,991100.0,NEW YORK,Queens County,109300
2110,36081109700,103958.0,841300.0,NEW YORK,Queens County,109700
2111,36081109900,88393.0,709000.0,NEW YORK,Queens County,109900
2112,36081111300,105263.0,974400.0,NEW YORK,Queens County,111300
2113,36081112300,107500.0,937500.0,NEW YORK,Queens County,112300
2114,36081112900,87188.0,890600.0,NEW YORK,Queens County,112900
